CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
12347.0,2,7,4310.000000000001,4,4,4,444,12,Champions
12348.0,75,4,1797.24,2,3,4,234,9,Loyal customers
12349.0,19,1,1757.5500000000002,4,1,4,414,9,Loyal customers
12350.0,310,1,334.40000000000003,1,1,2,112,4,Needs Attention
12352.0,36,8,2506.0400000000004,3,4,4,344,11,Champions
12353.0,204,1,89.0,1,1,1,111,3,At Risk
12354.0,232,1,1079.3999999999999,1,1,3,113,5,Needs Attention
12355.0,214,1,459.4,1,1,2,112,4,Needs Attention
12356.0,23,3,2811.43,3,3,4,334,10,Champions
12357.0,33,1,6207.67,3,1,4,314,8,Loyal customers
12358.0,2,2,1168.06,4,2,3,423,9,Loyal customers
12359.0,58,4,6372.58,2,3,4,234,9,Loyal customers
12360.0,52,3,2662.06,2,3,4,234,9,Loyal customers
12361.0,287,1,189.89999999999998,1,1,1,111,3,At Risk
12362.0,3,10,5226.23,4,4,4,444,12,Champions
12363.0,110,2,552.0,2,2,2,222,6,Potential Loyalists
12364.0,8,4,1313.1000000000001,4,3,3,433,10,Champions
12365.0,291,2,641.3799999999999,1,2,2,122,5,Needs Attention
12367.0,4,1,168.89999999999998,4,1,1,411,6,Potential Loyalists
12370.0,51,4,3545.6899999999996,3,3,4,334,10,Champions
12371.0,45,2,1887.96,3,2,4,324,9,Loyal customers
12372.0,72,3,1298.0400000000002,2,3,3,233,8,Loyal customers
12373.0,311,1,364.6,1,1,2,112,4,Needs Attention
12374.0,25,1,742.93,3,1,3,313,7,Potential Loyalists
12375.0,11,2,457.5,4,2,2,422,8,Loyal customers
12377.0,315,2,1628.12,1,2,4,124,7,Potential Loyalists
12378.0,130,1,4008.62,2,1,4,214,7,Potential Loyalists
12379.0,82,2,852.24,2,2,3,223,7,Potential Loyalists
12380.0,22,4,2724.8100000000004,3,3,4,334,10,Champions
12381.0,5,5,1845.3100000000004,4,4,4,444,12,Champions
12383.0,185,5,1850.5600000000002,1,4,4,144,9,Loyal customers
12384.0,29,2,585.2700000000001,3,2,2,322,7,Potential Loyalists
12386.0,338,2,401.9,1,2,2,122,5,Needs Attention
12388.0,16,6,2780.6600000000003,4,4,4,444,12,Champions
12390.0,80,1,549.84,2,1,2,212,5,Needs Attention
12391.0,22,1,460.89,3,1,2,312,6,Potential Loyalists
12393.0,72,4,1582.6000000000001,2,3,4,234,9,Loyal customers
12394.0,64,2,1272.48,2,2,3,223,7,Potential Loyalists
12395.0,19,12,3018.63,4,4,4,444,12,Champions
12397.0,36,2,2409.9000000000005,3,2,4,324,9,Loyal customers
12398.0,46,1,1635.6599999999999,3,1,4,314,8,Loyal customers
12399.0,119,4,1108.65,2,3,3,233,8,Loyal customers
12401.0,303,1,84.3,1,1,1,111,3,At Risk
12402.0,323,1,225.6,1,1,1,111,3,At Risk
12403.0,50,1,427.7,3,1,2,312,6,Potential Loyalists
12405.0,149,1,1710.3900000000003,1,1,4,114,6,Potential Loyalists
12406.0,22,2,3415.3,3,2,4,324,9,Loyal customers
12407.0,50,5,1708.1199999999997,3,4,4,344,11,Champions
12408.0,33,5,2888.55,3,4,4,344,11,Champions
12409.0,79,3,11072.67,2,3,4,234,9,Loyal customers
12410.0,309,2,693.3299999999999,1,2,3,123,6,Potential Loyalists
12412.0,75,3,1226.88,2,3,3,233,8,Loyal customers
12413.0,67,3,758.1,2,3,3,233,8,Loyal customers
12414.0,217,3,562.41,1,3,2,132,6,Potential Loyalists
12417.0,3,9,3649.1000000000004,4,4,4,444,12,Champions
12418.0,113,1,668.58,2,1,3,213,6,Potential Loyalists
12420.0,64,1,600.3900000000001,2,1,2,212,5,Needs Attention
12421.0,16,4,807.0400000000001,4,3,3,433,10,Champions
12422.0,96,3,803.5599999999998,2,3,3,233,8,Loyal customers
12423.0,1,8,1859.31,4,4,4,444,12,Champions
12424.0,163,2,1760.9599999999996,1,2,4,124,7,Potential Loyalists
12425.0,78,1,777.1999999999999,2,1,3,213,6,Potential Loyalists
12426.0,195,1,582.73,1,1,2,112,4,Needs Attention
12427.0,22,3,825.8,3,3,3,333,9,Loyal customers
12428.0,26,9,7956.46,3,4,4,344,11,Champions
12429.0,9,4,3750.4,4,3,4,434,11,Champions
12430.0,43,1,256.4,3,1,1,311,5,Needs Attention
12431.0,36,15,6487.45,3,4,4,344,11,Champions
12432.0,43,5,5059.319999999999,3,4,4,344,11,Champions
12433.0,1,7,13375.87,4,4,4,444,12,Champions
12434.0,85,2,806.14,2,2,3,223,7,Potential Loyalists
12435.0,80,2,7829.890000000001,2,2,4,224,8,Loyal customers
12436.0,100,1,509.01000000000005,2,1,2,212,5,Needs Attention
12437.0,2,18,4951.41,4,4,4,444,12,Champions
12438.0,14,2,2906.8500000000004,4,2,4,424,10,Champions
12441.0,367,1,173.55,1,1,1,111,3,At Risk
12442.0,3,1,172.06,4,1,1,411,6,Potential Loyalists
12444.0,21,5,5005.46,3,4,4,344,11,Champions
12445.0,22,1,133.4,3,1,1,311,5,Needs Attention
12446.0,58,1,1002.3100000000001,2,1,3,213,6,Potential Loyalists
12447.0,243,1,476.49,1,1,2,112,4,Needs Attention
12448.0,44,1,449.4500000000001,3,1,2,312,6,Potential Loyalists
12449.0,22,4,4067.2900000000004,3,3,4,334,10,Champions
12450.0,156,2,197.88,1,2,1,121,4,Needs Attention
12451.0,11,5,9035.52,4,4,4,444,12,Champions
12452.0,17,2,430.57,4,2,2,422,8,Loyal customers
12453.0,134,1,707.0899999999999,2,1,3,213,6,Potential Loyalists
12454.0,56,1,3528.34,2,1,4,214,7,Potential Loyalists
12455.0,73,6,2466.8599999999997,2,4,4,244,10,Champions
12456.0,44,3,3181.04,3,3,4,334,10,Champions
12457.0,66,7,2363.23,2,4,4,244,10,Champions
12458.0,71,2,947.4,2,2,3,223,7,Potential Loyalists
12461.0,94,2,826.88,2,2,3,223,7,Potential Loyalists
12462.0,19,2,1189.5900000000001,4,2,3,423,9,Loyal customers
12463.0,53,4,1344.7800000000002,2,3,3,233,8,Loyal customers
12464.0,10,8,1212.05,4,4,3,443,11,Champions
12465.0,17,2,742.19,4,2,3,423,9,Loyal customers
12468.0,188,2,729.54,1,2,3,123,6,Potential Loyalists
12472.0,32,7,6572.110000000001,3,4,4,344,11,Champions
12473.0,29,5,3938.55,3,4,4,344,11,Champions
12474.0,17,18,7375.79,4,4,4,444,12,Champions
12475.0,54,1,723.3799999999999,2,1,3,213,6,Potential Loyalists
12476.0,16,11,6816.42,4,4,4,444,12,Champions
12477.0,23,6,13219.740000000002,3,4,4,344,11,Champions
12478.0,4,1,680.9900000000001,4,1,3,413,8,Loyal customers
12479.0,11,1,527.2,4,1,2,412,7,Potential Loyalists
12480.0,28,4,3281.6299999999997,3,3,4,334,10,Champions
12481.0,23,10,5596.32,3,4,4,344,11,Champions
12483.0,17,8,2484.98,4,4,4,444,12,Champions
12484.0,33,6,4541.719999999999,3,4,4,344,11,Champions
12488.0,10,3,1298.6600000000003,4,3,3,433,10,Champions
12489.0,336,1,334.92999999999995,1,1,2,112,4,Needs Attention
12490.0,5,10,5417.93,4,4,4,444,12,Champions
12491.0,39,1,460.40000000000003,3,1,2,312,6,Potential Loyalists
12492.0,63,2,263.21,2,2,1,221,5,Needs Attention
12493.0,166,2,433.74,1,2,2,122,5,Needs Attention
12494.0,16,7,1246.1,4,4,3,443,11,Champions
12497.0,82,1,1043.1,2,1,3,213,6,Potential Loyalists
12498.0,21,3,403.7,3,3,2,332,8,Loyal customers
12500.0,23,11,4257.820000000001,3,4,4,344,11,Champions
12501.0,337,1,2169.3900000000003,1,1,4,114,6,Potential Loyalists
12502.0,96,5,3723.87,2,4,4,244,10,Champions
12504.0,18,2,482.04999999999995,4,2,2,422,8,Loyal customers
12506.0,233,1,73.50000000000001,1,1,1,111,3,At Risk
12507.0,134,3,1304.81,2,3,3,233,8,Loyal customers
12508.0,26,2,398.27,3,2,2,322,7,Potential Loyalists
12509.0,284,1,176.5,1,1,1,111,3,At Risk
12510.0,143,2,982.5699999999999,1,2,3,123,6,Potential Loyalists
12512.0,66,2,138.03,2,2,1,221,5,Needs Attention
12513.0,113,1,612.2900000000001,2,1,2,212,5,Needs Attention
12514.0,267,1,1017.6800000000001,1,1,3,113,5,Needs Attention
12515.0,353,1,383.70000000000005,1,1,2,112,4,Needs Attention
12516.0,78,2,1312.06,2,2,3,223,7,Potential Loyalists
12517.0,28,5,2502.84,3,4,4,344,11,Champions
12518.0,1,5,2056.89,4,4,4,444,12,Champions
12519.0,64,1,340.84000000000003,2,1,2,212,5,Needs Attention
12520.0,79,5,2634.26,2,4,4,244,10,Champions
12521.0,143,1,599.68,1,1,2,112,4,Needs Attention
12522.0,39,2,192.72000000000003,3,2,1,321,6,Potential Loyalists
12523.0,19,11,1789.77,4,4,4,444,12,Champions
12524.0,9,8,4485.719999999999,4,4,4,444,12,Champions
12526.0,1,3,1316.6600000000003,4,3,3,433,10,Champions
12527.0,82,3,348.71000000000004,2,3,2,232,7,Potential Loyalists
12528.0,9,6,1933.4800000000002,4,4,4,444,12,Champions
12530.0,60,4,1662.28,2,3,4,234,9,Loyal customers
12531.0,15,1,125.22,4,1,1,411,6,Potential Loyalists
12532.0,30,1,349.83000000000004,3,1,2,312,6,Potential Loyalists
12534.0,131,1,1089.18,2,1,3,213,6,Potential Loyalists
12535.0,92,2,716.35,2,2,3,223,7,Potential Loyalists
12536.0,43,3,12601.830000000002,3,3,4,334,10,Champions
12538.0,29,1,363.95,3,1,2,312,6,Potential Loyalists
12539.0,22,4,5568.349999999999,3,3,4,334,10,Champions
12540.0,20,17,13400.24,3,4,4,344,11,Champions
12541.0,30,3,981.1800000000002,3,3,3,333,9,Loyal customers
12544.0,36,1,372.70000000000005,3,1,2,312,6,Potential Loyalists
12545.0,75,2,1000.39,2,2,3,223,7,Potential Loyalists
12546.0,47,2,1161.5,3,2,3,323,8,Loyal customers
12547.0,198,2,207.8,1,2,1,121,4,Needs Attention
12548.0,166,1,95.19999999999999,1,1,1,111,3,At Risk
12550.0,79,1,964.83,2,1,3,213,6,Potential Loyalists
12551.0,358,1,168.0,1,1,1,111,3,At Risk
12552.0,39,2,437.82,3,2,2,322,7,Potential Loyalists
12553.0,8,10,3692.2799999999997,4,4,4,444,12,Champions
12556.0,50,2,603.7099999999999,3,2,2,322,7,Potential Loyalists
12557.0,16,5,11990.96,4,4,4,444,12,Champions
12558.0,8,1,269.96000000000004,4,1,1,411,6,Potential Loyalists
12559.0,311,2,561.7099999999999,1,2,2,122,5,Needs Attention
12560.0,5,3,2134.01,4,3,4,434,11,Champions
12561.0,303,1,238.85,1,1,1,111,3,At Risk
12562.0,8,7,3781.74,4,4,4,444,12,Champions
12564.0,261,1,456.90000000000003,1,1,2,112,4,Needs Attention
12565.0,289,1,145.92000000000002,1,1,1,111,3,At Risk
12566.0,86,1,351.65,2,1,2,212,5,Needs Attention
12567.0,23,10,9401.279999999999,3,4,4,344,11,Champions
12571.0,40,2,519.61,3,2,2,322,7,Potential Loyalists
12572.0,9,2,1020.42,4,2,3,423,9,Loyal customers
12573.0,227,1,160.54,1,1,1,111,3,At Risk
12574.0,316,1,218.45000000000002,1,1,1,111,3,At Risk
12576.0,36,5,1315.83,3,4,3,343,10,Champions
12577.0,35,3,657.8,3,3,2,332,8,Loyal customers
12578.0,21,2,2794.5099999999998,3,2,4,324,9,Loyal customers
12579.0,78,1,440.41999999999996,2,1,2,212,5,Needs Attention
12580.0,247,1,415.70000000000005,1,1,2,112,4,Needs Attention
12581.0,40,1,197.70999999999998,3,1,1,311,5,Needs Attention
